experiment,fold,train_accuracy,test_accuracy,val_accuracy,test_precision,test_recall,test_f1,val_precision,val_recall,val_f1,timeuse,rank
th(0.1),2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,25.4658660888672,2
th(0.2),2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,26.1127741336823,2
th(0.3),2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,26.8309841156006,2
th(0.4),2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,27.5271730422974,2
th(0.5),2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,28.5977461338043,2
th(0.6),2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,29.3134980201721,2
th(0.7),1,0.999466340936987,0.999482833405625,0.999395211498097,0.838235294117647,0.74025974025974,0.786206896551724,0.85,0.817307692307692,0.833333333333333,30.2907340526581,1
th(0.8),1,0.999377397759818,0.999332688265323,0.999341847806752,0.877551020408163,0.558441558441558,0.682539682539683,0.868131868131868,0.759615384615385,0.81025641025641,30.9205710887909,8
th(0.9),4,0.999335898819442,0.999249274298489,0.999235093211897,0.970588235294118,0.428571428571429,0.594594594594595,0.896103896103896,0.663461538461538,0.762430939226519,31.2790749073029,9
th(1),1,0.998155911460032,0.998715424910747,0.99815005870006,0,0,0,0,0,0,32.269819021225,10
