experiment,fold,train_accuracy,test_accuracy,val_accuracy,test_precision,test_recall,test_f1,val_precision,val_recall,val_f1,timeuse
baseline,1,0.999466340936987,0.999482833405625,0.999395211498097,0.838235294117647,0.74025974025974,0.786206896551724,0.85,0.817307692307692,0.833333333333333,28.1705069541931
baseline,2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,26.9687900543213
baseline,3,0.999430773791877,0.99934937105869,0.999412968069021,0.779411764705882,0.688311688311688,0.731034482758621,0.888888888888889,0.776699029126214,0.829015544041451,28.0312759876251
baseline,4,0.999460417790796,0.999416102232158,0.999288458801765,0.862068965517241,0.649350649350649,0.740740740740741,0.890243902439024,0.701923076923077,0.78494623655914,27.9802269935608
remove Amount,1,0.999466340936987,0.999482833405625,0.999395211498097,0.838235294117647,0.74025974025974,0.786206896551724,0.85,0.817307692307692,0.833333333333333,28.1799528598785
remove Amount,2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,28.174113035202
remove Amount,3,0.999430773791877,0.99934937105869,0.999412968069021,0.779411764705882,0.688311688311688,0.731034482758621,0.888888888888889,0.776699029126214,0.829015544041451,27.8910069465637
remove Amount,4,0.999460417790796,0.999416102232158,0.999288458801765,0.862068965517241,0.649350649350649,0.740740740740741,0.890243902439024,0.701923076923077,0.78494623655914,27.6645240783691
log,1,0.999466340936987,0.999482833405625,0.999395211498097,0.838235294117647,0.74025974025974,0.786206896551724,0.85,0.817307692307692,0.833333333333333,29.5432829856873
log,2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,35.3258440494537
log,3,0.999430773791877,0.99934937105869,0.999412968069021,0.779411764705882,0.688311688311688,0.731034482758621,0.888888888888889,0.776699029126214,0.829015544041451,31.8779149055481
log,4,0.999460417790796,0.999416102232158,0.999288458801765,0.862068965517241,0.649350649350649,0.740740740740741,0.890243902439024,0.701923076923077,0.78494623655914,30.8431131839752
min_max_norm,1,0.999466340936987,0.999482833405625,0.999395211498097,0.838235294117647,0.74025974025974,0.786206896551724,0.85,0.817307692307692,0.833333333333333,29.7327969074249
min_max_norm,2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,28.9068338871002
min_max_norm,3,0.999430773791877,0.99934937105869,0.999412968069021,0.779411764705882,0.688311688311688,0.731034482758621,0.888888888888889,0.776699029126214,0.829015544041451,29.1147310733795
min_max_norm,4,0.999460417790796,0.999416102232158,0.999288458801765,0.862068965517241,0.649350649350649,0.740740740740741,0.890243902439024,0.701923076923077,0.78494623655914,28.8199939727783
zscore_norm,1,0.999466340936987,0.999482833405625,0.999395211498097,0.838235294117647,0.74025974025974,0.786206896551724,0.85,0.817307692307692,0.833333333333333,27.7124397754669
zscore_norm,2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,28.2577080726624
zscore_norm,3,0.999430773791877,0.99934937105869,0.999412968069021,0.779411764705882,0.688311688311688,0.731034482758621,0.888888888888889,0.776699029126214,0.829015544041451,30.845664024353
zscore_norm,4,0.999460417790796,0.999416102232158,0.999288458801765,0.862068965517241,0.649350649350649,0.740740740740741,0.890243902439024,0.701923076923077,0.78494623655914,29.6427958011627
