Method,Range,TargetFeature,Precision,Recall,NumberOfRow
std,-3~3,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,0.943396,0.649351,222256
IQR,-3~3,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,0.915254,0.701299,211251
IQR,-3~3,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,0.915254,0.701299,211251
IQR,-2~2,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,0.872727,0.623377,198817
std,-3~3,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,0.943396,0.649351,222256
std,-3~3,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,0.943396,0.649351,222256
std,-2~2,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,0.80597,0.701299,219501
IQR,-3~3,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13,0.887097,0.714286,224856
std,-3~3,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13,0.868852,0.688312,224041
IQR,-3~3,V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,0.823529,0.727273,211251
std,-3~3,V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,0.811594,0.727273,222256
IQR,-3.5~3.5,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,0.822581,0.662338,214174
IQR,-2.5~2.5,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,0.833333,0.649351,206726
std,-3.5~3.5,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,0.912281,0.675325,222906
std,-2.5~2.5,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,0.86,0.558442,221178
IQR,-3~3,V7+V8+V9,0.637681,0.571429,223648
std,-3~3,V7+V8+V9,0.637681,0.571429,223108
IQR,-3~3,V14,0.9375,0.194805,221381
std,-3~3,V14,0.9375,0.194805,221972
IQR,-3~3,V28,0.653333,0.636364,211251
std,-3~3,V28,0.692308,0.701299,222256
IQR,-3~3,V3,0.913793,0.688312,223739
std,-3~3,V3,0.7,0.727273,223156
